X,Y
857,1280
857,1281
861,1281
861,1282
863,1282
863,1284
864,1284
864,1286
863,1286
863,1287
860,1287
860,1292
859,1292
859,1295
858,1295
858,1297
857,1297
857,1299
856,1299
856,1303
855,1303
855,1306
854,1306
854,1308
853,1308
853,1311
852,1311
852,1314
853,1314
853,1319
852,1319
852,1321
851,1321
851,1324
850,1324
850,1330
851,1330
851,1332
850,1332
850,1335
851,1335
851,1336
850,1336
850,1356
849,1356
849,1362
848,1362
848,1366
847,1366
847,1367
846,1367
846,1368
845,1368
845,1369
844,1369
844,1373
843,1373
843,1379
842,1379
842,1384
841,1384
841,1387
840,1387
840,1395
841,1395
841,1400
842,1400
842,1401
843,1401
843,1403
844,1403
844,1406
845,1406
845,1407
848,1407
848,1408
849,1408
849,1409
850,1409
850,1410
849,1410
849,1411
850,1411
850,1413
851,1413
851,1416
850,1416
850,1418
851,1418
851,1421
850,1421
850,1424
849,1424
849,1428
850,1428
850,1429
851,1429
851,1431
850,1431
850,1432
849,1432
849,1436
848,1436
848,1439
849,1439
849,1441
848,1441
848,1448
849,1448
849,1449
850,1449
850,1452
851,1452
851,1453
852,1453
852,1454
853,1454
853,1455
854,1455
854,1456
855,1456
855,1459
856,1459
856,1460
857,1460
857,1461
858,1461
858,1462
859,1462
859,1463
861,1463
861,1464
863,1464
863,1465
867,1465
867,1466
869,1466
869,1467
870,1467
870,1468
872,1468
872,1469
874,1469
874,1470
876,1470
876,1471
879,1471
879,1472
902,1472
902,1473
905,1473
905,1472
908,1472
908,1471
912,1471
912,1470
913,1470
913,1469
914,1469
914,1468
915,1468
915,1467
916,1467
916,1465
918,1465
918,1464
920,1464
920,1463
921,1463
921,1462
923,1462
923,1461
924,1461
924,1460
925,1460
925,1459
926,1459
926,1458
928,1458
928,1455
929,1455
929,1454
931,1454
931,1453
933,1453
933,1452
934,1452
934,1450
935,1450
935,1447
